"dataset","m","estimate_t","lower95_t","median_t","upper95_t"
"Extant fauna",679,1.06913412264656,0.640436189971946,1.05691231475306,1.5637126137173
"Extant fauna",706,1.10139872428045,0.655394852225666,1.08863000194877,1.61962737594693
"Extant fauna",735,1.13551467094487,0.67374716372182,1.1210892699552,1.67873350261209
"Extant fauna",764,1.16909639612929,0.690941121561782,1.15402334601295,1.73231413348546
"Extant fauna",794,1.20329786937916,0.708231047865162,1.18683730553186,1.79370557623502
"Extant fauna",826,1.23920186967765,0.725477574050487,1.22195278254757,1.85731278550122
"Extant fauna",859,1.27563040232502,0.740933684375362,1.25713627146239,1.92305912604612
"Extant fauna",893,1.31255600697529,0.75763400126759,1.29419931932296,1.98658943098232
"Extant fauna",929,1.35101195003703,0.774652516853346,1.33151042502994,2.05855076624905
"Extant fauna",966,1.389878723424,0.79125227821251,1.36803661744879,2.13410077262663
"Extant fauna",1004,1.42913317360507,0.809235453458177,1.40508997227594,2.20495619647556
"Extant fauna",1044,1.46976049553971,0.827407197194402,1.44478102393262,2.2803961941092
"Extant fauna",1086,1.51168858923348,0.844939205220936,1.48498626412626,2.35835839853343
"Extant fauna",1129,1.5538749244593,0.861482757983482,1.52591841742176,2.44639130446197
"Extant fauna",1174,1.59725837767989,0.87846778083658,1.56728217038224,2.52923716291474
"Extant fauna",1221,1.64177312597937,0.897302816993137,1.6111101111183,2.62329189090621
"Extant fauna",1270,1.6873556151206,0.913103117473191,1.65522204257712,2.70847260233998
"Extant fauna",1320,1.73303924075798,0.931034902428086,1.69829126564128,2.79732490205595
"Extant fauna",1373,1.78059251089474,0.953127597445492,1.74401575962591,2.88845088753817
"Extant fauna",1427,1.82816407707184,0.974175633094307,1.78907903142698,2.9935929996521
"Extant fauna",1484,1.87746178169484,0.993784311134343,1.83721456820518,3.09458742085755
"Extant fauna",1544,1.92838568591654,1.01300382743884,1.8832468598299,3.19775925427117
"Extant fauna",1605,1.97918921394015,1.03198785176332,1.92797977608926,3.29821988961722
"Extant fauna",1669,2.0314918106797,1.05045506373717,1.97484700510865,3.40570236258884
"Extant fauna",1735,2.08440881664095,1.06822382835785,2.02717686734551,3.52568323311103
"Extant fauna",1805,2.13945656043007,1.08861575723236,2.07843878573004,3.65559890454524
"Extant fauna",1877,2.19497808281,1.10549686251583,2.13148148820982,3.78888038910242
"Extant fauna",1951,2.25093794300204,1.12233650071265,2.18340351783786,3.92557079409008
"Extant fauna",2029,2.30877129000513,1.14291101042308,2.23962431469944,4.07109832209302
"Extant fauna",2110,2.36764060400659,1.16498936433189,2.29598510549021,4.22754762095547
"Extant fauna",2194,2.42747558496696,1.18057295480685,2.35316335282711,4.37509656530043
"Extant fauna",2282,2.48890036617924,1.19855599735845,2.40901257219411,4.50330289385047
"Extant fauna",2372,2.55045552801037,1.2190689267565,2.46581765767298,4.63046888449492
"Extant fauna",2467,2.6141126097075,1.24635096896328,2.53156125094725,4.78642362820931
