,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
313,WCA3A-N41_Marsh,30.2,115,216,42.5,38.5,47.5,28.5,M,None
314,WCA3A-N41_Marsh,21.2,81,161,31,29,37.5,11.3,M,None
315,WCA3A-N41_Marsh,27.2,107.5,200.5,39.5,47,35.5,20.5,M,None
316,ENP-EST,32,123.3,234.5,43,44,53.6,33.5,M,Broken jaw
317,ENP-EST,28.3,112,221.3,41.8,41.8,51.8,27,M,None
318,Lox_Marsh,19,64,131,24.3,24.5,28,5.5,M,None
319,ENP-EST,21.8,83.1,167.3,34.8,33.2,38.9,12,M,None
320,ENP-EST,37,125.9,252.2,51,51.5,61.5,NA,M,None
321,ENP-EST,33.5,119.7,239.2,51.6,50.7,62.8,45.5,M,None
322,ENP-EST,30.5,116,222.5,45.5,22.5,52,27.5,M,None
323,ENP-EST,37.1,143.3,171.5,48.4,49.5,66.2,52,M,Incomplete tail
324,Lox_Marsh,32,118.5,228,46,50,62,36,M,Incomplete tail
325,Lox_Marsh,27,99,195,38,38,45.5,21.5,F,Leech on left hind foot
326,Lox_Marsh,33.5,126,238,48.5,56,64,42.5,M,None
327,Lox_Marsh,31.5,117,224.5,45,42,57.5,32.5,F,None
328,Lox_Marsh,27.5,102,197,38.5,37,49.5,23,F,Battle scars
329,WCA2A_Marsh,26.5,93.8,168.4,36.7,38.1,43.5,20,F,None
330,WCA2A_Marsh,24.9,87.8,173.2,34.5,33.3,41,13,F,None
331,WCA2A_Marsh,28.5,104.9,209.4,37.9,39,49,22,F,None
332,WCA2A_Marsh,29.2,108.2,216,42.1,37,47.5,27.2,F,None
333,WCA2A_Marsh,28.1,100.8,203.5,36.4,36.5,45.4,19.5,F,None
334,WCA2A_Marsh,21,77.5,157.4,29.9,28.5,34.5,11,M,None
335,WCA2A_Marsh,26.8,98.1,199.3,38.7,37,46.8,20,F,None
336,WCA2A_Marsh,20,70.5,143.7,26.6,24.5,32,7.3,M,None
337,WCA2A_Marsh,28.2,103,201,40.6,40.1,48.1,22.5,F,None
338,WCA2A_Marsh,29.4,103.4,202.9,40.8,38.9,49.9,21.5,F,None
339,WCA2A_Marsh,20.2,71.2,144.6,26.3,24.2,30.6,7,M,None
340,WCA2A_Marsh,25.1,90.6,186,36.4,33.1,42.5,16,F,None
341,Lox_Marsh,20.8,76,150.5,29,28.5,33.5,9.5,F,None
342,Lox_Marsh,29,107,216,44,41.5,53,31,F,None
